City,Cost of Living Index_x,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Crime Index,Safety Index_x,Health Care Index_x,Health Care Exp. Index,Pollution Index_x,Exp Pollution Index,Land area (km2 2011),Growth Rate 2011–2016,Population (2016),Climate Index,Population (2011),Population (2006),Population (2001),Population (1996),Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index,Quality of Life Index,Purchasing Power Index,Safety Index_y,Health Care Index_y,Cost of Living Index_y,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index_y,January - Avg. high °C,January - Avg. low °C,July - Avg. high °C,July - Avg. low °C,Traffic Index,Time Index (in minutes),Time Exp. Index,Inefficiency Index,CO2 Emission Index
Medicine Hat,,,,,,,,,,,,,112.0,5%,6326,,60005.0,56997.0,51249.0,46783.0,,,,,,,,,,,,,,,,,,,,,,,,
Kamloops,,,,,,,,,,,,,299.2,5%,9028,,85678.0,80376.0,77281.0,76394.0,3.88,9.26,8.55,10.8,11.7,26.28,3.81,,,,,,,,,0.4,−5.9,28.9,14.2,,,,,
St. John's,,,,,,,,,,,,,446.0,3%,10886,,106172.0,100646.0,99182.0,101936.0,,,,,,,,,,,,,,,,−0.8,−8.2,20.7,10.9,,,,,
Cambridge,,,,,,,,,,,,,113.0,3%,12992,,126748.0,120371.0,110372.0,101429.0,,,,,,,,,,,,,,,,,,,,,,,,
Mirabel,,,,,,,,,,,,,485.07,20%,50513,,41957.0,34626.0,27315.0,22626.0,,,,,,,,,,,,,,,,,,,,,,,,
Belleville,,,,,,,,,,,,,247.2,3%,50716,,49454.0,48821.0,46029.0,46195.0,,,,,,,,,,,,,,,,,,,,,,,,
North Bay,,,,,,,,,,,,,319.1,-4%,51553,,53651.0,53966.0,52771.0,54332.0,,,,,,,,,,,,,,,,,,,,,,,,
Welland,,,,,,,,,,,,,81.1,3%,52293,,50631.0,50331.0,48402.0,48411.0,,,,,,,,,,,,,,,,,,,,,,,,
North Vancouver,,,,,,,,,,,,,11.8,10%,52898,,48196.0,45165.0,44303.0,41475.0,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,,,,,,,,,,,,,49.8,4%,55445,,53203.0,47629.0,40167.0,34857.0,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Hyacinthe,,,,,,,,,,,,,188.7,5%,55648,,53236.0,51616.0,50394.0,50027.0,,,,,,,,,,,,,,,,,,,,,,,,
Blainville,,,,,,,,,,,,,55.1,6%,56863,,5351.0,46493.0,36029.0,29603.0,,,,,,,,,,,,,,,,,,,,,,,,
Port Coquitlam,,,,,,,,,,,,,29.2,5%,58612,,55958.0,52687.0,51257.0,46682.0,,,,,,,,,,,,,,,,,,,,,,,,
Halton Hills,,,,,,,,,,,,,276.3,4%,61161,,59013.0,55289.0,48184.0,4239.0,,,,,,,,,,,,,,,,,,,,,,,,
Airdrie,,,,,,,,,,,,,84.57,42%,61581,,43271.0,28927.0,20407.0,15946.0,,,,,,,,,,,,,,,,,,,,,,,,
Grande Prairie,,,,,,,,,,,,,72.8,14%,63166,,55655.0,47076.0,36983.0,31353.0,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk County,,,,,,,,,,,,,1607.6,1%,64044,,63175.0,62563.0,60847.0,60534.0,,,,,,,,,,,,,,,,,,,,,,,,
St. Albert,,,,,,,,,,,,,48.3,7%,65589,,61466.0,57719.0,53081.0,46888.0,,,,,,,,,,,,,,,,,,,,,,,,
Granby,,,,,,,,,,,,,152.7,4%,66222,,63433.0,47637.0,44121.0,43316.0,,,,,,,,,,,,,,,,,,,,,,,,
Caledon,,,,,,,,,,,,,688.2,12%,66502,,5946.0,5705.0,50605.0,39893.0,,,,,,,,,,,,,,,,,,,,,,,,
Saint John,,,,,,,,,,,,,315.8,-4%,67575,,70063.0,68043.0,69661.0,72494.0,,,,,,,,,,,,,,,,,,,,,,,,
New Westminster,,,,,,,,,,,,,15.6,8%,70996,,65976.0,58549.0,54656.0,4935.0,8.89,04.08,4.17,24.5,24.0,57.2,1.75,,,,,,,,,,,,,,,,,
Wood Buffalo,,,,,,,,,,,,,63637.5,9%,71589,,65565.0,51496.0,41445.0,35213.0,,,,,,,,,,,,,,,,,,,,,,,,
Sarnia,,,,,,,,,,,,,164.7,-1%,71594,,72366.0,71419.0,70876.0,72738.0,,,,,,,,,,,,,,,,,,,,,,,,
Moncton,,,,,,,,,,,,,141.2,4%,71889,,69074.0,64128.0,61046.0,59313.0,3.35,7.27,7.94,13.76,12.6,22.88,4.37,,,,,,,,,−3.7,−14.0,24.7,12.9,,,,,
Sault Ste. Marie,,,,,,,,,,,,,223.3,-2%,73368,,75141.0,74948.0,74566.0,80054.0,,,,,,,,,,,,,,,,,,,,,,,,
Prince George,,,,,,,,,,,,,318.3,3%,74003,,71974.0,70981.0,72406.0,7551.0,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Jérôme,,,,,,,,,,,,,90.5,9%,74346,,68456.0,63729.0,59614.0,59533.0,,,,,,,,,,,,,,,,,,,,,,,,
Drummondville,,,,,,,,,,,,,246.9,5%,75423,,71852.0,67392.0,63029.0,58588.0,,,,,,,,,,,,,,,,,,,,,,,,
